Timestamp,I understand our IT mission and vision,I understand my objectives for this year,My role and responsibilities are clear to me,I feel empowered to do my work,The teamwork within my team is good,Cooperation across teams in the IT unit is good,Communication within the unit is good,IT as a unit is good to work for,The performance of IT management (including team leaders) is good,The IT unit is perceived well in the organization,Overall I am satisfied with my job,I believe my current job is aligned with my strengths,I feel confident that I can reach my long term career goals,There is sufficient incentive to perform well at my organization,Our processes are generally well organized and efficient
5/22/2013 17:36:17,4,4,5,2,8,7,5,4,4,7,2,7,1,5,4
5/22/2013 17:54:34,5,10,10,10,10,2,5,8,4,4,8,9,10,10,4
5/22/2013 17:56:45,8,10,10,8,10,6,6,7,6,5,7,6,6,7,8
5/22/2013 18:22:48,9,9,9,9,8,7,7,9,9,8,8,8,6,9,9
5/22/2013 19:49:47,8,8,8,8,8,9,8,9,8,8,8,8,8,8,7
5/22/2013 21:59:25,5,9,8,6,10,5,5,7,7,4,6,7,4,6,4
5/23/2013 0:00:23,5,10,8,10,10,9,6,10,8,9,10,9,10,5,7
5/23/2013 1:28:18,7,7,9,10,10,7,10,10,10,10,10,10,8,10,7
5/23/2013 8:28:33,10,10,10,10,10,3,3,8,7,7,10,10,8,4,5
5/23/2013 9:19:11,7,10,10,8,10,5,6,6,5,5,7,5,7,8,8
5/23/2013 9:32:34,3,4,4,1,3,4,2,3,3,4,4,1,1,5,2
5/23/2013 9:35:32,8,10,10,8,10,10,10,6,9,3,9,7,8,8,8
5/23/2013 10:00:33,4,9,7,8,9,7,7,6,7,6,7,6,7,6,6
5/23/2013 10:02:34,2,4,4,8,9,4,3,7,2,2,3,2,2,2,2
5/23/2013 10:08:26,9,9,9,9,7,4,5,8,6,8,9,9,9,6,6
5/23/2013 10:43:18,10,10,10,8,7,5,7,8,8,8,8,9,5,8,8
5/23/2013 11:02:26,8,10,10,8,8,4,5,8,6,7,8,7,7,7,6
5/23/2013 12:13:51,8,9,9,9,10,7,6,9,8,7,9,9,8,8,7
5/23/2013 13:43:46,5,7,7,6,9,6,5,5,6,4,5,4,5,3,7
5/23/2013 13:47:57,7,8,8,8,7,3,2,7,5,6,8,8,5,6,5
5/23/2013 13:53:57,6,5,5,6,5,2,3,2,3,2,5,7,6,4,1
5/23/2013 16:04:17,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8
5/23/2013 16:58:46,9,8,7,9,10,7,8,8,9,8,8,7,6,9,9
5/23/2013 18:50:35,4,7,6,4,9,8,4,4,4,5,6,6,3,5,4
5/23/2013 21:12:50,7,9,9,9,8,6,7,7,8,6,8,8,5,7,5
5/24/2013 11:10:47,5,8,10,1,10,8,8,5,7,2,3,2,1,1,6
5/24/2013 11:24:47,8,10,9,9,10,7,8,9,8,8,9,8,9,9,7
5/26/2013 2:08:38,5,6,7,8,7,6,7,7,7,5,7,8,6,7,6
5/27/2013 15:58:54,9,10,10,7,10,6,6,9,8,7,9,10,8,8,4
5/27/2013 16:03:52,9,10,10,10,10,8,8,10,10,10,10,10,10,10,9
